Filename,Extracted Values
X8XZIBZD,"{""Called up share capital not paid"": ""1"", ""Current Assets"": ""1016"", ""Net current assets (liabilities)"": ""1016"", ""Total assets less current liabilities"": ""1017"", ""Total net assets (liabilities)"": ""1017"", ""Capital and reserves"": ""1017""}"
X8XZICIB,"{""Cash at bank and in hand"": ""100"", ""Net assets Issued share capital"": ""100"", ""100 Ordinary Shares of £ | each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZICNE,"{""Cash at bank and in hand"": ""100"", ""Net assetsIssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZICQX,"{""Cash at bank and in hand"": ""1"", ""Net assetsIssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XZIDG2,"{""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""0"", ""Total net assets (liabilities)"": ""0"", ""Capital and reserves"": ""0""}"
X8XZIDMH,"{""Cash at bank and in hand"": ""1"", ""Net assetsIssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1""}"
X8XZIE17,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""1 Ordinary Share of £ 100 each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZIEI1,{}
X8XZIF16,"{""Current Assets"": ""2386"", ""Creditors: amounts falling due within one year"": ""-360"", ""Net current assets (liabilities)"": ""2026"", ""Total assets less current liabilities"": ""2026"", ""Total net assets (liabilities)"": ""2026"", ""Capital and reserves"": ""2026""}"
X8XZIFE8,"{""Cash at bank and in hand"": ""5"", ""Net assetsIssued share capital"": ""5"", ""5 Ordinary Shares 1 of £ each"": ""5"", ""Total Shareholder funds STATEMENTS"": ""5""}"
X8XZIFNV,"{""Fixed Assets"": ""2456"", ""Current Assets"": ""212740"", ""Creditors: amounts falling due within one year"": ""-65764"", ""Net current assets (liabilities)"": ""146976"", ""Total assets less current liabilities"": ""149432"", ""Provisions for liabilities"": ""-467"", ""Total net assets (liabilities)"": ""148965"", ""Capital and reserves"": ""148965""}"
X8XZIFZL,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XZIG2X,"{""Called up share capital not paid"": ""200"", ""Net assetsTssued share capital"": ""200"", ""200 Ordinary Shares 1 of £ each"": ""200"", ""Total Shareholder funds STATEMENTS"": ""200""}"
X8XZIGW8,"{""Fixed assets"": ""12000"", ""Current assets Creditors: amounts falling due within"": ""2191"", ""one year"": ""-16080"", ""Net current liabilities"": ""-13889"", ""Total assets less current liabilities Creditors: amounts falling due after"": ""-1889"", ""more than one year"": ""-6200"", ""Net liabilities"": ""-8089"", ""Capital and reserves"": ""-8089"", ""Average number of employee The company is a private company limited by shares and incorporated in Scotland. Its registered office"": ""2""}"
X8XZIIRN,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XZIIW2,"{""Cash at bank and in hand"": ""1"", ""Net assetsIssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XZIIYQ,"{""Net assets"": ""0"", ""Reserves STATEMENTS"": ""0""}"
X8XZIJC8,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 Ordinary Shares of £ | each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZIKDF,"{""Called up share capital not paid"": ""4"", ""Current Assets"": ""7078"", ""Creditors: amounts falling due within one year"": ""-7047"", ""Net current assets (liabilities)"": ""31"", ""Total assets less current liabilities"": ""35"", ""Total net assets (liabilities)"": ""35"", ""Capital and reserves"": ""35""}"
X8XZIKJ6,"{""Cash at bank and in hand"": ""100"", ""Net assetsIssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZIKOX,"{""Fixed Assets"": ""8460"", ""Current Assets"": ""22756"", ""Creditors: amounts falling due within one year"": ""-27702"", ""Net current assets (liabilities)"": ""-4946"", ""Total assets less current liabilities"": ""3514"", ""Total net assets (liabilities)"": ""3514"", ""Capital and reserves"": ""3514""}"
X8XZIMDT,{}
X8XZIMKG,"{""Current Assets"": ""196"", ""Creditors: amounts falling due within one year"": ""-18"", ""Net current assets (liabilities)"": ""178"", ""Total assets less current liabilities"": ""178"", ""Total net assets (liabilities)"": ""178"", ""Capital and reserves"": ""178""}"
X8XZIML4,"{""Cash at bank and in hand"": ""50"", ""Net assetsIssued share capital"": ""50"", ""50 Preference Shares 1 of £ each"": ""50"", ""Total Shareholder funds STATEMENTS"": ""50""}"
X8XZIMQ3,{}
X8XZIN35,"{""Called up share capital not paid"": ""2"", ""Net assetsTssued share capital"": ""2"", ""2 Ordinary Shares 1 of £ each"": ""2"", ""Total Shareholder funds STATEMENTS"": ""2""}"
X8XZINN6,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XZIO5G,"{""Fixed assets"": ""576"", ""Current assets"": ""2020"", ""Creditors: Amounts falling due within one year"": ""-8895"", ""Total assets less current liabilities"": ""-6299"", ""Accruals and deferred income"": ""-312"", ""(6,611)"": ""-6611"", ""Capital and reserves"": ""-6611"", ""1"": ""1"", ""2"": ""2""}"
X8XZIOFU,"{""Fixed Assets"": ""7264"", ""Current Assets"": ""14291"", ""Creditors: amounts falling due within one year"": ""-563"", ""Net current assets (liabilities)"": ""13728"", ""Total assets less current liabilities"": ""20992"", ""Total net assets (liabilities)"": ""20992"", ""Capital and reserves"": ""20992""}"
X8XZIOKY,"{""Current Assets"": ""10000"", ""Net current assets (liabilities)"": ""10000"", ""Total assets less current liabilities"": ""10000"", ""Total net assets (liabilities)"": ""10000"", ""Capital and reserves For the year ending 31 May 2019 the company was entities to exemption under section 477 of the"": ""10000""}"
X8XZIOV4,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 A Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZIOXK,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIP1V,{}
X8XZIPBM,"{""Fixed Assets"": ""83750"", ""Current Assets"": ""93152"", ""Creditors: amounts falling due within one year"": ""-29819"", ""Net current assets (liabilities)"": ""63333"", ""Total assets less current liabilities Creditors: amounts falling due after more than one"": ""147083"", ""Total net assets (liabilities)"": ""110013"", ""Capital and reserves For the year ending 31 December 2019 the company was entities to exemption under section 477 of"": ""110013""}"
X8XZIPGP,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""100"": ""100""}"
X8XZIPWZ,"{""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""0"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""0"", ""Capital and reservesFor the year ending 31 January 2020 the company was entities to exemption under section 477 of"": ""0""}"
X8XZIQ16,"{""Current Assets"": ""22560"", ""Creditors: amounts falling due within one year"": ""-2038"", ""Net current assets (liabilities)"": ""20522"", ""Total assets less current liabilities"": ""20522"", ""Total net assets (liabilities)"": ""20522"", ""Capital and reserves"": ""20522""}"
X8XZIQEG,"{""Cash at bank and in hand"": ""1"", ""Net assetsIssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8XZIR1E,"{""Fixed Assets"": ""46754"", ""Current Assets"": ""8017"", ""Creditors: amounts falling due within one year"": ""-65151"", ""Net current assets (liabilities)"": ""-57134"", ""Total assets less current liabilities"": ""-10380"", ""Provisions for liabilities"": ""-7458"", ""Accruals and deferred income"": ""-1200"", ""Total net assets (liabilities)"": ""-19038"", ""Capital and reserves"": ""-19038""}"
X8XZIR3U,"{""Fixed Assets"": ""8326"", ""Current Assets"": ""17380"", ""Creditors: amounts falling due within one year"": ""-23723"", ""Net current assets (liabilities)"": ""-6343"", ""Total assets less current liabilities"": ""1983"", ""Total net assets (liabilities)"": ""1983"", ""Capital and reserves"": ""1983""}"
X8XZIR7V,"{""Fixed Assets"": ""25000"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilitiesCreditors: amounts falling due after more than one"": ""25000"", ""Total net assets (liabilities)"": ""2"", ""Capital and reserves For the year ending 31 January 2020 the company was entities to exemption under section 477 of"": ""2""}"
X8XZIRI8,"{""Current Assets"": ""24404"", ""Creditors: amounts falling due within one year"": ""-26602"", ""Net current assets (liabilities)"": ""-2198"", ""Total assets less current liabilities"": ""-2198"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""-2198"", ""Capital and reserves"": ""-2198""}"
X8XZIS4B,"{""Fixed Assets"": ""960"", ""Current Assets"": ""1541"", ""Creditors: amounts falling due within one year"": ""-1209"", ""Net current assets (liabilities)"": ""332"", ""Total assets less current liabilities"": ""1292"", ""Total net assets (liabilities)"": ""1292"", ""Capital and reserves"": ""1292""}"
X8XZIS7K,"{""Current assets"": ""5527"", ""Creditors: amounts falling due within one year"": ""-4247"", ""Net current assets"": ""1280"", ""Total assets less current liabilities"": ""1280"", ""Accruals and deferred income"": ""-1273"", ""Net assets"": ""7"", ""Capital and reserves NOTES TO THE ACCOUNTS"": ""7""}"
X8XZIS17,"{""Called up share capital not paid"": ""2"", ""Net assetsTssued share capital"": ""2"", ""2 Ordinary Shares 1 of £ each"": ""2"", ""Total Shareholder funds STATEMENTS"": ""2""}"
X8XZISVF,"{""Cash at bank and in hand"": ""20"", ""Net assetsIssued share capital"": ""20"", ""20 Ordinary Shares 1 of £ each"": ""20"", ""Total Shareholder funds STATEMENTS"": ""20""}"
X8XZIT2O,"{""Cash at bank and in hand"": ""12"", ""Net assets"": ""12"", ""12 Ordinary Shares 1 of £ each"": ""12"", ""Total Shareholder funds"": ""12""}"
X8XZITQ8,"{""Called up share capital not paid"": ""1"", ""Net assets Tssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1""}"
X8XZIUTL,"{""Called up share capital not paid"": ""2"", ""Net assetsTssued share capital"": ""2"", ""2 Ordinary Shares 1 of £ each"": ""2"", ""Total Shareholder funds STATEMENTS"": ""2""}"
X8XZIV4B,"{""Cash at bank and in hand"": ""3"", ""Net assets Issued share capital"": ""3""}"
X8XZIVMX,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZIW68,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8XZIWEH,"{""Called up share capital not paid"": ""6"", ""Net assetsTssued share capital"": ""6"", ""6 Ordinary Shares 1 of £ each"": ""6"", ""Total Shareholder funds STATEMENTS"": ""6""}"
X8XZIWI2,"{""Current Assets"": ""52167"", ""Creditors: amounts falling due within one year"": ""-16402"", ""Net current assets (liabilities)"": ""35765"", ""Total assets less current liabilities"": ""35765"", ""Total net assets (liabilities)"": ""35765"", ""Capital and reserves"": ""35765""}"
X8Y2EPBT,"{""Fixed Assets"": ""2046"", ""Current Assets"": ""53790"", ""Creditors: amounts falling due within one year"": ""-23146"", ""Net current assets (liabilities)"": ""30644"", ""Total assets less current liabilities"": ""32690"", ""Total net assets (liabilities)"": ""32690"", ""Capital and reserves For the year ending 31 May 2019 the company was entities to exemption under section 477 of the"": ""32690""}"
X8Y2EPNN,"{""Fixed Assets"": ""14800"", ""Current Assets"": ""570"", ""Net current assets (liabilities)"": ""570"", ""Total assets less current liabilities"": ""15370"", ""Creditors: amounts falling due after more than one year"": ""-18659"", ""Total net assets (liabilities)"": ""-3289"", ""Capital and reserves"": ""-3289""}"
X8Y2EPVK,"{""Fixed Assets"": ""3650"", ""Current Assets"": ""7721"", ""Creditors: amounts falling due within one year"": ""-8776"", ""Net current assets (liabilities)"": ""-1055"", ""Total assets less current liabilities"": ""2595"", ""Total net assets (liabilities)"": ""2595"", ""Capital and reserves"": ""2595""}"
X8Y2ER1U,"{""Called up share capital not paid"": ""100"", ""Net assetsTssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8Y2ESHT,"{""Current Assets"": ""5609"", ""Creditors: amounts falling due within one year"": ""-5392"", ""Net current assets (liabilities)"": ""217"", ""Total assets less current liabilities"": ""217"", ""Total net assets (liabilities)"": ""217"", ""Capital and reserves"": ""217""}"
X8Y2ESJM,"{""Cash at bank and in hand"": ""10"", ""Net assetsIssued share capital"": ""10"", ""1000 Ordinary Shares of £ 0.01 each"": ""10"", ""Total Shareholder funds STATEMENTS"": ""10""}"
X8Y2ESK2,"{""Fixed Assets"": ""47942"", ""Current Assets"": ""26316"", ""Net current assets (liabilities)"": ""-182332"", ""Total assets less current liabilitiesCreditors: amounts falling due after more than one"": ""-134390"", ""0"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""-134390"", ""Capital and reserves"": ""-134390""}"
X8Y2ETEY,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8Y2ETP7,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""100 Ordinary Shares of £ | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2EUWP,"{""Fixed Assets"": ""931"", ""Current Assets"": ""2145"", ""Creditors: amounts falling due within one year"": ""-2502"", ""Net current assets (liabilities)"": ""-357"", ""Total assets less current liabilities"": ""574"", ""Total net assets (liabilities)"": ""574"", ""Capital and reserves"": ""574""}"
X8Y2EY7M,"{""Called up share capital not paid Current assets"": ""0"", ""Cash at bank and in hand"": ""100"", ""Net assets Authorised share capital"": ""100"", ""100 ORDINARY SHARES of £1 each"": ""100"", ""Total shareholder funds NOTES"": ""100""}"
X8Y2EYGW,"{""Net current assets (liabilities)"": ""2"", ""Total assets less current liabilities"": ""2"", ""Total net assets (liabilities)"": ""2"", ""Capital and reserves"": ""2""}"
X8Y2EYNK,"{""Called up share capital not paid Current assets"": ""0"", ""Cash at bank and in hand"": ""100"", ""Net assets Authorised share capital"": ""100"", ""100 ORDINARY SHARES of £1 each"": ""100"", ""Total shareholder funds NOTES"": ""100""}"
X8Y2EZ9S,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8Y2EZF0,"{""Creditors: amounts falling due within one year"": ""-16666"", ""Net current assets (liabilities)"": ""-16666"", ""Total assets less current liabilities"": ""-16666"", ""Total net assets (liabilities)"": ""-16666"", ""Capital and reserves For the year ending 31 January 2020 the company was entities to exemption under section 477 of"": ""-16666""}"
X8Y2EZHT,{}
X8Y2F0HE,"{""Current assets"": ""198"", ""one year"": ""3893"", ""Net current assets"": ""4091"", ""Total assets less current liabilities"": ""4091"", ""Accruals and deferred income"": ""-1600"", ""Net assets"": ""2491"", ""Capital and reserves"": ""2491""}"
X8Y2F0L6,"{""Called up share capital not paid Current assets"": ""0"", ""Cash at bank and in hand"": ""100"", ""Net assets Authorised share capital"": ""100"", ""100 ORDINARY SHARES of £1 each"": ""100"", ""Total shareholder funds NOTES"": ""100""}"
X8Y2F3JL,"{""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2F3V7,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""100 Ordinary Shares of £ | each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2F4BD,"{""Current Assets"": ""199"", ""Creditors: amounts falling due within one year"": ""-198"", ""Net current assets (liabilities)"": ""1"", ""Total assets less current liabilities"": ""1"", ""Total net assets (liabilities)"": ""1"", ""Capital and reserves"": ""1""}"
X8Y2F4HM,"{""Fixed Assets"": ""17417"", ""Current Assets"": ""25632"", ""Creditors: amounts falling due within one year"": ""-2160"", ""Net current assets (liabilities)"": ""23472"", ""Total assets less current liabilities"": ""40889"", ""Total net assets (liabilities)"": ""40889"", ""Reserves"": ""40889""}"
X8Y2F4YW,"{""Fixed Assets"": ""1078"", ""Total assets less current liabilities"": ""1078"", ""Total net assets (liabilities)"": ""1078"", ""Capital and reserves"": ""1078""}"
X8Y2F14H,"{""Current Assets"": ""10"", ""Net current assets (liabilities)"": ""10"", ""Total assets less current liabilitiesCreditors: amounts falling due after more than one"": ""10"", ""Total net assets (liabilities)"": ""-5776"", ""Capital and reserves"": ""-5776""}"
X8Y2F34B,"{""Fixed Assets"": ""470"", ""Current Assets"": ""2000"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""2000"", ""Total assets less current liabilities"": ""2470"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""2470"", ""Capital and reserves"": ""2470""}"
X8Y2F337,"{""Cash at bank and in hand"": ""100"", ""Net assetsIssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8Y4QL1E,"{""Creditors: amounts falling due within one year"": ""0"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0""}"
X8Y4QNO9,"{""Called up share capital not paid"": ""1"", ""Fixed Assets"": ""3334"", ""Prepayments and accrued income"": ""419"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""419"", ""Total assets less current liabilities"": ""3754"", ""Creditors: amounts falling due after more than one year"": ""-3754"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""0"", ""Capital and reserves"": ""0""}"
X8Y4QNPL,{}
X8Y4QNRD,{}
X8Y4QO1V,"{""Cash at bank and in hand"": ""1"", ""Net assetsIssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8Y4QO6V,"{""Cash at bank and in hand"": ""100"", ""Net assetsIssued share capital"": ""100"", ""100 Ordinary Shares 1 of £ each"": ""100"", ""Total Shareholder funds STATEMENTS"": ""100""}"
X8Y4QORK,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
X8Y4QP5M,"{""Tangible assetsCurrent assets"": ""83"", ""Cash at bank and in hand"": ""22639"", ""within one year"": ""-22757"", ""Net current liabilities"": ""-118"", ""Net (liabilities)/assets"": ""-35"", ""Called up share capital"": ""500"", ""Profit and loss account"": ""-535"", ""Shareholders funds"": ""-35""}"
X8Y4QPFS,{}
X8Y4QRBV,"{""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y4QSJK,"{""Current Assets"": ""3656"", ""Creditors: amounts falling due within one year"": ""-3567"", ""Net current assets (liabilities)"": ""89"", ""Total assets less current liabilities"": ""89"", ""Total net assets (liabilities)"": ""89"", ""Capital and reserves"": ""89""}"
X8Y4QSMO,"{""Current Assets"": ""6160"", ""Creditors: amounts falling due within one year"": ""-6028"", ""Net current assets (liabilities)"": ""132"", ""Total assets less current liabilities"": ""132"", ""Total net assets (liabilities)"": ""132"", ""Capital and reserves"": ""132""}"
X8Y4QSOG,"{""Current Assets"": ""677"", ""Net current assets (liabilities)"": ""366"", ""Total assets less current liabilities"": ""366"", ""Total net assets (liabilities)"": ""366"", ""Capital and reserves"": ""366""}"
X8Y4QT61,{}
X8Y4QUNU,"{""Called up share capital not paid"": ""1"", ""Fixed Assets"": ""97"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""98"", ""Total net assets (liabilities)"": ""98"", ""Capital and reserves"": ""98""}"
X8Y4QUTD,"{""Called up share capital not paid"": ""3"", ""Net assets"": ""3"", ""3 Ordinary Shares 1 of £ each"": ""3"", ""Total Shareholder funds"": ""3""}"
X8Y4QVGI,"{""Called up share capital not paid"": ""1"", ""Net assetsTssued share capital"": ""1"", ""1 Ordinary Share 1 of £ each"": ""1"", ""Total Shareholder funds STATEMENTS"": ""1""}"
